position,publicwww_rank,domain,typeform_indexed_match,indexed_typeform_urls,typeform_form_urls,publicwww_email_candidate_count,publicwww_email_query_rows,live_typeform_urls,combined_typeform_urls,scan_mode,homepage_url,robots_status,http_status,pages_checked,live_email_candidates,publicwww_email_candidates,combined_email_candidates,email_visibility,corporate_status,corporate_exclusion_reason,site_contact_candidate_emails,parent_company_emails,legal_emails,third_party_emails,unverified_emails,verification_eligible_emails,verification_exclusion_reason,scan_notes
71,194194,maformation.fr,no,https://embed.typeform.com/,,0,0,,https://embed.typeform.com/,contact_pages,,ok,,0,,,,no_public_email_found,not_flagged,,,,,,,,,homepage disallowed by robots.txt
76,205697,myalbum.com,yes,https://myalbum.typeform.com/to/BfhNbH ; https://myalbum.typeform.com/to/bwCdkP ; https://myalbum.typeform.com/to/JLJPe5 ; https://myalbum.typeform.com/to/RBrtja ; https://myalbum.typeform.com/to/W0pqzv ; https://myalbum.typeform.com/to/wL5jE2,https://myalbum.typeform.com/to/BfhNbH ; https://myalbum.typeform.com/to/bwCdkP ; https://myalbum.typeform.com/to/JLJPe5 ; https://myalbum.typeform.com/to/RBrtja ; https://myalbum.typeform.com/to/W0pqzv ; https://myalbum.typeform.com/to/wL5jE2,0,0,https://myalbum.typeform.com/to/BfhNbH ; https://myalbum.typeform.com/to/bwCdkP ; https://myalbum.typeform.com/to/JLJPe5 ; https://myalbum.typeform.com/to/RBrtja ; https://myalbum.typeform.com/to/W0pqzv ; https://myalbum.typeform.com/to/wL5jE2,https://myalbum.typeform.com/to/BfhNbH ; https://myalbum.typeform.com/to/bfhnbh ; https://myalbum.typeform.com/to/bwcdkp ; https://myalbum.typeform.com/to/bwCdkP ; https://myalbum.typeform.com/to/JLJPe5 ; https://myalbum.typeform.com/to/jljpe5 ; https://myalbum.typeform.com/to/RBrtja ; https://myalbum.typeform.com/to/rbrtja ; https://myalbum.typeform.com/to/w0pqzv ; https://myalbum.typeform.com/to/W0pqzv ; https://myalbum.typeform.com/to/wL5jE2 ; https://myalbum.typeform.com/to/wl5je2,contact_pages,https://www.myalbum.com/,unavailable,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
79,214948,fan-force.com,no,,,0,0,,,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
82,224930,chilipiper.com,no,,,0,0,,,contact_pages,,ok,,0,,,,no_public_email_found,not_flagged,,,,,,,,,homepage disallowed by robots.txt
88,233578,kartinfo.me,no,,,0,0,,,contact_pages,https://kartinfo.me/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
89,234369,apiumhub.com,no,,,0,0,,,contact_pages,https://www.plainconcepts.com/apiumhub-is-now-part-of-plain-concepts/,ok,200,0,,,,no_public_email_found,not_flagged,,,,,,,,,redirected to another registrable domain
90,234422,studioplace.it,yes,https://form.typeform.com/to/VhHaZyod ; https://studioplace.typeform.com/to/VhHaZyod,https://form.typeform.com/to/VhHaZyod ; https://studioplace.typeform.com/to/VhHaZyod,0,0,,https://form.typeform.com/to/vhhazyod ; https://studioplace.typeform.com/to/vhhazyod,contact_pages,,blocked,,0,,,,no_public_email_found,not_flagged,,,,,,,,,robots.txt blocked
96,254255,redlights.es,yes,https://shopredlights.typeform.com/to/Uvr8RF,https://shopredlights.typeform.com/to/Uvr8RF,0,0,https://shopredlights.typeform.com/to/Uvr8RF,https://shopredlights.typeform.com/to/Uvr8RF ; https://shopredlights.typeform.com/to/uvr8rf,contact_pages,https://redlights.es/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
99,256676,zeitzuleben.de,no,https://zeitzuleben.typeform.com/,,0,0,https://zeitzuleben.typeform.com/,https://zeitzuleben.typeform.com/,contact_pages,https://zeitzuleben.de/,ok,200,1,,,,no_public_email_found,not_flagged,,,,,,,,,
101,259320,disruptiveadvertising.com,no,,,0,0,,,contact_pages,https://disruptiveadvertising.com/,ok,200,2,,,,no_public_email_found,not_flagged,,,,,,,,,
